aaiershibingbian,阿埃二氏病变
yukuaizhongshu,愉快中枢
yulanjiangtang,玉兰降糖
yulanjiangtangjiaonang,玉兰降糖胶囊
yuleixing,鱼雷形
yulengrecijitong,遇冷热刺激痛
yulengresuan,遇冷热酸
yulengtonghuanjie,遇冷痛缓解
yuliren,郁李仁
yuliangqinggaoyao,余良卿膏药
yulietiegao,愈裂贴膏
yulinbing,鱼鳞病
yulinbingpian,鱼鳞病片
yulinbingyanghongpibing,鱼鳞病样红皮病
yulinbingyanghongpibingyixing,鱼鳞病样红皮病异型
yulinjiaonang,育麟胶囊
yulinqinghuopian,玉林清火片
yulingxiaoke,玉苓消渴
yulingxiaokecha,玉苓消渴茶
yumaikouyan,余麦口咽
yumaikouyanheji,余麦口咽合剂
yumaikouyankoufuye,余麦口咽口服液
yumeifensanpian,愈美分散片
yumeihuanshipian,愈美缓释片
yumeijiamamin,愈美甲麻敏
yumeijiamamintangjiang,愈美甲麻敏糖浆
yumeijiaonang,愈美胶囊
yumeikeli,愈美颗粒
yumeilanyuerenruguozhizhen,余每览越人入虢之诊
yumichundanbai,玉米醇蛋白
yumidanbai,玉米蛋白
yumingyundaozhong,于冥运道中
yumodianwei,阈膜电位
yupanxiaokepian,玉盘消渴片
yupifengwan,玉屁风丸
yupiaobushenwan,鱼嫖补肾丸
yupingfengdaipaocha,玉屏风袋泡茶
yupingfengdiwan,玉屏风滴丸
yupingfengjiaonang,玉屏风胶囊
yupingfengkeli,玉屏风颗粒
yupingfengkoufuye,玉屏风口服液
yupingfengsan,玉屏风散
yupingfengwan,玉屏风丸
yuqiwucha,预期误差
yuqingkanggongyan,玉清抗宫炎
yuqubanjiaonang,瘀祛斑胶囊
yuquankeli,玉泉颗粒
yuquanwan,玉泉丸
yuqunjiaonang,育群胶囊
yuqunxingcheng,鱼群形成
yuraoshenmingzheng,瘀扰神明证
yurehujiezheng,瘀热互结证
yurejiaozuzheng,瘀热交阻证
yureneiyuzheng,瘀热内郁证
yureruluozheng,瘀热入络证
yuretongjiaju,遇热痛加剧
yuretongyulengtong,遇热痛遇冷痛
yureweijinfeiweiyinshangzheng,余热未尽肺胃阴伤证
yureweijinzheng,余热未尽证
yureweiqingzheng,余热未清证
yurexiangbozheng,瘀热相搏证
yureyongzuzheng,瘀热壅阻证
yurezuluozheng,瘀热阻络证
yurezuzhizheng,瘀热阻滞证
yusanxiaojiaonang,愈三消胶囊
yushangjiejie,盂上结节
yushanglingjiaonang,愈伤灵胶囊
yushangzuzhi,愈伤组织
yushenyuyihangchu,与肾盂移行处
yushengdiwei,语声低微
yushizhi,鱼石脂
yushizhidianqie,鱼石脂颠茄
yushizhidianqieruangao,鱼石脂颠茄软膏
yushizhiruangao,鱼石脂软膏
yushizhiruangaoyiqiwu,鱼石脂软膏一七五
yushizhiyanghuaxin,鱼石脂氧化锌
yushizhiyanghuaxinruangao,鱼石脂氧化锌软膏
yusixingwei,育嗣行为
yusushangfangshuqingshisiyu,余宿尚方术请事斯语
yusuxingweidaoguan,预塑形微导管
yusuxingweidaoguan,预塑性微导管
yusuantianshisuantong,遇酸甜食酸痛
yutanhuahuozheng,瘀痰化火证
yutianchongzhusheqi,预填充注射器
yutingqingqiaozheng,瘀停清窍证
yutingxiongxiezheng,瘀停胸胁证
yuwangshijieeryin,鱼王石洁尔阴
yuwangxingwei,欲望行为
yuwengjie,渔翁街
yuxiaciji,阈下刺激
yuxiajiejie,盂下结节
yuxiamangai,鱼虾鳗钙
yuxiayingda,阈下应答
yuxiazhijue,阈下知觉
yuxiangbinpian,育享宾片
yuxiaofuyuanjiaonang,愈消复原胶囊
yuxieraomuzheng,余邪扰目证
yuxieweijintanyuzhiluozheng,余邪未尽痰瘀滞络证
yuxieweijinzheng,余邪未尽证
yuxintongjiaonang,愈心痛胶囊
yuxingcao,鱼腥草
yuxingcaodiyanji,鱼腥草滴眼剂
yuxingcaodiyanye,鱼腥草滴眼液
yuxingcaoheji,鱼腥草合剂
yuxingcaosu,鱼腥草素
yuxingcaosuna,鱼腥草素钠
yuxingcaosunapian,鱼腥草素钠片
yuxingcaosunapiantangyi,鱼腥草素钠片糖衣
yuxingcaosunashuan,鱼腥草素钠栓
yuxingcaoyou,鱼腥草油
yuxingcaozhusheye,鱼腥草注射液
yuxuanyaoshui,愈癣药水
yuxuanyixuezhongxin,宇暄医学中心
yuxuebibizheng,瘀血痹闭证
yuxuebijiaonang,瘀血痹胶囊
yuxuebikeli,瘀血痹颗粒
yuxuebipian,瘀血痹片
yuxuebipianbomoyi,瘀血痹片薄膜衣
yuxuebizuzheng,瘀血痹阻证
yuxuechengfeizheng,瘀血乘肺证
yuxuehuarezheng,瘀血化热证
yuxuelingxinzheng,瘀血凌心证
yuxueliuzhizheng,瘀血留滞证
yuxueneijiezheng,瘀血内结证
yuxueneitingqingqiaoshouzuzheng,瘀血内停清窍受阻证
yuxueneitingzheng,瘀血内停证
yuxueneizhizheng,瘀血内滞证
yuxueneizuzheng,瘀血内阻证
yuxueningzhizheng,瘀血凝滞证
yuxueshangluozheng,瘀血伤络证
yuxuetingzhezheng,瘀血停着证
yuxuetingzhizheng,瘀血停滞证
yuxuexinggansunhuai,淤血性肝损坏
yuxuexingshuizhong,淤血性水肿
yuxuezugezheng,淤血阻膈证
yuxuezuluozheng,瘀血阻络证
yuxuezuzhizheng,瘀血阻滞证
yuyawubushi,余牙无不适
yuyayouqingxie,余牙有倾斜
yuyayousongdong,余牙有松动
yuyanfayuzhangai,语言发育障碍
yuyanxidezhuangzhi,语言习得装置
yuyanxiangduixing,语言相对性
yuyanzhongshu,语言中枢
yuyejiedukeli,玉叶解毒颗粒
yuyejiedutangjiang,玉叶解毒糖浆
yuyejinwan,玉液金丸
yuyeqinghuo,玉叶清火
yuyeqinghuopian,玉叶清火片
yuyexiaoke,玉液消渴
yuyexiaokekeli,玉叶消渴颗粒
yuyexiaokekeli,玉液消渴颗粒
yuyichabiefa,语义差别法
yuyijiyi,语义记忆
yuyiqidong,语义启动
yuyincankao,语音参考
yuyingaibian,语音改变
yuyinjiangtangwan,育阴降糖丸
yuyinjiaozhengqi,语音矫正器
yuyinpingding,语音评定
yuyintingjue,语音听觉
yuyinyingao,语音音高
yuyoujiangzhi,鱼油降脂
yuyouzhifangruzhusheye,鱼油脂肪乳注射液
yuyuliang,禹余粮
yuyuweifan,郁郁微烦
yuyuejiezhong,预约接种
yuyuejiezhongriqi,预约接种日期
yuyuejiezhongshijian,预约接种时间
yuyuetaishixueyaji,鱼跃台式血压计
yuzaizhihuo,遇灾值祸
yuzanqingyanshiwuwei,玉簪清咽十五味
yuzanqingyanshiwuweisan,玉簪清咽十五味散
yuzanqingyanshiwuweiwan,玉簪清咽十五味丸
yuzhensan,玉真散
yuzhensanjiaonang,玉真散胶囊
yuzhibaogongzheng,瘀滞胞宫证
yuzhibingbian,欲知病变
yuzhibingyuan,欲知病源
yuzhihuahuozheng,瘀滞化火证
yuzhihuarezheng,瘀滞化热证
yuzhijifuzheng,瘀滞肌肤证
yuzhipingan,御制平安
yuzhipinganwan,御制平安丸
yuzhixingzhuang,阈值性状
yuzhizi,预知子
yuzhongtengtongzheng,瘀肿疼痛证
yuzhouloulu,禹州漏芦
yuzhuganhuagonghefang,玉竹甘花共合方
yuzhugaoling,玉竹高龄
yuzhugaolingjiu,玉竹高龄酒
yuzhukeli,玉竹颗粒
yuzhuangxueguanzhijiaxitong,预装血管支架系统
yuzhuozusezheng,瘀浊阻塞证
yuzongzusuduo,余宗族素多
yuzubaomaizheng,瘀阻胞脉证
yuzuchangluozheng,瘀阻肠络证
yuzuchongrenzheng,瘀阻冲任证
yuzujingluozheng,瘀阻经络证
yuzumailuozheng,瘀阻脉络证
yuzunaoluozheng,瘀阻脑络证
yuzuqibizheng,瘀阻气闭证
yuzuqidaozheng,瘀阻气道证
yuzuqingqiaozheng,瘀阻清窍证
yuzuweiluozheng,瘀阻胃络证
yuzuxinmaizheng,瘀阻心脉证
yuzuxiongxiezheng,瘀阻胸胁证
yuzuyuzhongjiao,郁阻于中焦
yuzuzhongjiaozheng,瘀阻中焦证
yuzuzongmaizheng,瘀阻宗脉证
yuanaijiyin,原癌基因
yuanbaocao,元宝草
yuanbingxingyinnang,圆饼形阴囊
yuanbulinna,原卟啉钠
yuanbupiban,远部皮瓣
yuanchandimoshi,原产地模式
yuanchangpeixingcheng,原肠胚形成
yuanchengfangshexue,远程放射学
yuanchenghuizhen,远程会诊
yuanchengyixue,远程医学
yuandaxing,远大星
yuandaipeiyang,原代培养
yuandaixibaopeiyang,原代细胞培养
yuandongchuxuere,远东出血热
yuanduganmao,鸢都感冒
yuanduganmaokeli,鸢都感冒颗粒
yuanduhanbi,鸢都寒痹
yuanduhanbiyaojiuliao,鸢都寒痹药酒料
yuanduhanbiye,鸢都寒痹液
yuanduanpishenfenliushu,远端脾肾分流术
yuanduansaizhongzhiqi,远端塞中置器
yuanduanshuniaoguanbufayu,远段输尿管不发育
yuanduanshuanzi,远端栓子
yuanduanweidabuqiechushu,远端胃大部切除术
yuanduanweiqiechushu,远端胃切除术
yuanduanxingjibing,远端型肌病
yuanduanyixianqiechushu,远端胰腺切除术
yuanduanzhongzhiqi,远端中置器
yuanerchaquan,原儿茶醛
yuanersepufa,圆二色谱法
yuanfabianyingyuan,原发变应原
yuanfafuhezheng,原发复合征
yuanfaguhuadian,原发骨化点
yuanfajixing,原发畸形
yuanfajiezhongxingjiehe,原发接种性结核
yuanfashangdao,原发伤道
yuanfaxingbanhenluansuo,原发性瘢痕挛缩
yuanfaxingbijiaoxingqingguangyan,原发性闭角型青光眼
yuanfaxingbijing,原发性闭经
yuanfaxingcesuoyinghua,原发性侧索硬化
yuanfaxingdancekuanguanjiebing,原发性单侧髋关节病
yuanfaxingdancexiguanjiebing,原发性单侧膝关节病
yuanfaxingdanchunpaozhen,原发性单纯疱疹
yuanfaxingdanguanjieshi,原发性胆管结石
yuanfaxingdanguanxiazhai,原发性胆管狭窄
yuanfaxingfeijiehe,原发性肺结核
yuanfaxingfeishuyi,原发性肺鼠疫
yuanfaxingfeiyanxingshuyi,原发性肺炎型鼠疫
yuanfaxingfumoyan,原发性腹膜炎
yuanfaxinggaocaosuanniao,原发性高草酸尿
yuanfaxinggaowanjinengjiantui,原发性睾丸机能减退
yuanfaxinggaoxueya,原发性高血压
yuanfaxinggaoxueyabing,原发性高血压病
yuanfaxinggongsuofali,原发性宫缩乏力
yuanfaxingguanjiebing,原发性关节病
yuanfaxingguotangnaishoubuliang,原发性果糖耐受不良
yuanfaxinghanxianai,原发性汗腺癌
yuanfaxingjibing,原发性疾病
yuanfaxingjiazhuangxianjinengjiantui,原发性甲状腺机能减退
yuanfaxingjiazhuangxianjinengkangjin,原发性甲状腺机能亢进
yuanfaxingjiazuxinghuangliubing,原发性家族性黄瘤病
yuanfaxingjushe,原发性巨舌
yuanfaxingkaijiaoxingqingguangyan,原发性开角型青光眼
yuanfaxinglengqiudanbaixuezheng,原发性冷球蛋白血症
yuanfaxinglinbashuizhong,原发性淋巴水肿
yuanfaxingmimanxingshiguanjingluan,原发性弥漫性食管痉挛
yuanfaxingnvyinweisuo,原发性女阴萎缩
yuanfaxingpajinsenshizonghezheng,原发性帕金森氏综合症
yuanfaxingpifudianfenyangbianbing,原发性皮肤淀粉样变病
yuanfaxingpifujiehe,原发性皮肤结核
yuanfaxingpifujiehezonghezheng,原发性皮肤结核综合症
yuanfaxingquangutong,原发性醛固酮
yuanfaxingquanshenxingguguanjiebing,原发性全身性骨关节病
yuanfaxingrutudanzhiliu,原发性乳突胆脂瘤
yuanfaxingsanchashenjingtong,原发性三叉神经痛
yuanfaxingshenbingzonghezheng,原发性肾病综合症
yuanfaxingshiwangmotuoli,原发性视网膜脱离
yuanfaxingshuangcekuanguanjiebing,原发性双侧髋关节病
yuanfaxingshuangcexiguanjiebing,原发性双侧膝关节病
yuanfaxingsunhai,原发性损害
yuanfaxingtanxingxianweibing,原发性弹性纤维病
yuanfaxingtongfeng,原发性痛风
yuanfaxingtongjing,原发性痛经
yuanfaxingweishiguanfanliu,原发性胃食管反流
yuanfaxingwuru,原发性无乳
yuanfaxingxiaochangkuiyang,原发性小肠溃疡
yuanfaxingxiaochangxishoubuliang,原发性小肠吸收不良
yuanfaxingxiaonaobianxing,原发性小脑变性
yuanfaxingxuexiaobanjianshaozheng,原发性血小板减少症
yuanfaxingxuexiaobanzengduozheng,原发性血小板增多症
yuanfaxingyabenzhi,原发性牙本质
yuanfaxingyizhiganwugongneng,原发性移植肝无功能
yuanfaxingyizhishenwugongneng,原发性移植肾无功能
yuanfaxingyuejingxishao,原发性月经稀少
yuanfaxingzhilixingdixueya,原发性直立性低血压
yuanfazonghezheng,原发综合征
yuangejiancha,远隔检查
yuangelianxiang,远隔联想
yuangongtaidudiaocha,员工态度调查
yuanhaohugan,芫蒿护肝
yuanhaohuganpian,芫蒿护肝片
yuanhaohuganpianbomoyi,芫蒿护肝片薄膜衣
yuanheguzengxiaopian,元和骨增消片
yuanhemianqu,远颌面龋
yuanhemianshenqu,远颌面深龋
yuanhexibao,原核细胞
yuanhexijun,原核细菌
yuanhezhengwei,元和正胃
yuanhezhengweipian,元和正胃片
yuanhengyitai,元亨胰泰
yuanhongwaixianliaofa,远红外线疗法
yuanhongwaixianmeirongyi,远红外线美容仪
yuanhongxibao,原红细胞
yuanhuweishu,元胡胃舒
yuanhuweishujiaonang,元胡胃舒胶囊
yuanhuzhitong,元胡止痛
yuanhuzhitongdiwan,元胡止痛滴丸
yuanhuzhitongfensanpian,元胡止痛分散片
yuanhuzhitongjiaonang,元胡止痛胶囊
yuanhuzhitongkeli,元胡止痛颗粒
yuanhuzhitongkoufuye,元胡止痛口服液
yuanhuzhitongpian,元胡止痛片
yuanhuzhitongpianbomoyi,元胡止痛片薄膜衣
yuanhuzhitongpiantangyi,元胡止痛片糖衣
yuanhuzhitongruanjiaonang,元胡止痛软胶囊
yuanhuatiao,芫花条
yuanhuatiemo,芫花萜膜
yuanhuazonghuangtong,芫花总黄酮
yuanjilinganhe,源吉林甘和
yuanjiningdanbai,原肌凝蛋白
yuanjiqiudanbai,原肌球蛋白
yuanjixingzhuru,原基性侏儒
yuanjiangxingxingxingxibaoliu,原浆性星形细胞瘤
yuanjiezhigu,远节指骨
yuanjiezhigu,远节趾骨
yuanjiezhiguculong,远节指骨粗隆
yuanlixibao,原粒细胞
yuanliaoyaowu,原料药物
yuanlinbaxibao,原淋巴细胞
yuanningdanbai,原宁蛋白
yuannuoke,源诺克
yuanpanfa,圆盘法
yuanpaozhenbingdu,猿疱疹病毒
yuanpianzhuang,圆片状
yuanqibaituoxinshensanluanzheng,元气败脱心神散乱证
yuanqibaituozheng,元气败脱证
yuanqibuzuyinxuekuisunzheng,元气不足阴血亏损证
yuanqibuzuzheng,元气不足证
yuanqikuixuzheng,元气亏虚证
yuanqishuaibaizheng,元气衰败证
yuanqiejiaoshenqu,远切角深龋
yuanqinshanyou,怨亲善友
yuanqinzhitongzhusheye,元秦止痛注射液
yuanrendaiexingzhongliu,圆韧带恶性肿瘤
yuanrendainangzhong,圆韧带囊肿
yuanrendainangzhongqiechushu,圆韧带囊肿切除术
yuanrendaisuoduanshu,圆韧带缩短术
yuanrendaixuandiaoshu,园韧带悬吊术
yuanrendaixuandiaoshu,圆韧带悬吊术
yuanrenshenerchun,原人参二醇
yuanshenankeli,元神安颗粒
yuanshenwaituozheng,元神外脱证
yuanshenzhifu,元神之府
yuanshengdongwuxingfuxie,原生动物性腹泻
yuanshengdongwuxingjibing,原生动物性疾病
yuanshengdongwuxingjiechangyan,原生动物性结肠炎
yuanshengdongwuxingliji,原生动物性痢疾
yuanshenggantai,援生甘泰
yuanshengliwei,援生力维
yuanshengqikang,援生奇康
yuanshengxinao,援生欣奥
yuanshengxinkang,援生欣康
yuanshengzhiqiao,原生质桥
yuanshengzhiti,原生质体
yuanshengzhitipeiyang,原生质体培养
yuanshengzhitironghe,原生质体融合
yuanshengzhixibao,原生殖细胞
yuanshifumingwan,远视复明丸
yuanshikouqiang,原始口腔
yuanshiluanpao,原始卵泡
yuanshimianyixibaolinbajiebing,原始免疫细胞淋巴结病
yuanshixiaohuaguan,原始消化管
yuanshixinxueguanxitong,原始心血管系统
yuanshixingshenjingwaipeiliu,原始性神经外胚瘤
yuanshixingxibao,原始性细胞
yuanshixuexibao,原始血细胞
yuanshuantimoxing,圆栓体模型
yuansigongdaihuan,圆丝弓带环
yuansigongjiaguan,圆丝弓颊管
yuansuzhuyi,元素主义
yuansuangoutuoruimifenpian,橼酸枸托瑞米芬片
yuantianshizonghezhenghuozonghezheng,原田氏综合症或综合症
yuanwaicerulu,远外侧入路
yuanweiai,原位癌
yuanweiduoqiguanguanzhu,原位多器官灌注
yuanweiganyizhi,原位肝移植
yuanweiguanzhu,原位灌注
yuanweiheisesuliu,原位黑色素瘤
yuanweijuchen,愿为俱陈
yuanweipangganyizhi,原位旁肝移植
yuanweipangyixianyizhi,原位旁胰腺移植
yuanweipiban,远位皮瓣
yuanweixianai,原位腺癌
yuanweixiaochangyizhi,原位小肠移植
yuanweixinzangyizhi,原位心脏移植
yuanweiyizhi,原位移植
yuanweizajiao,原位杂交
yuanweizajiaojishu,原位杂交技术
yuanxibaozhifangrouliu,圆细胞脂肪肉瘤
yuanxianweidanbai,原纤维蛋白
yuanxinxinghuanzhuanghongban,远心性环状红斑
yuanxingbikong,圆形鼻孔
yuanxingdimie,圆星迪灭
yuanxingkangbibaozijun,圆形糠秕孢子菌
yuanxingkangzhen,圆形糠疹
yuanxingqiechu,圆形切除
yuanxingqiekou,圆形切口
yuanxingwenheqi,圆形吻合器
yuanxingwenheqidingcang,圆形吻合器钉仓
yuanxingwenheqijidingcang,圆形吻合器及钉仓
yuanxingxianchong,圆形线虫
yuanxingzhichuangshui,远兴痔疮水
yuanyangwaituozheng,元阳外脱证
yuanyebiyuntao,原野避孕套
yuanyezhike,苑叶止咳
yuanyezhiketangjiang,苑叶止咳糖浆
yuanyiliaofa,园艺疗法
yuanyineizhangbing,圆翳内障病
yuanyinbumingxinzangbing,原因不明心脏病
yuanyuruqian,缘于入前
yuanyuanzazhong,远缘杂种
yuanzhicanzhimuhua,原指残指拇化
yuanzhidiwan,远志滴丸
yuanzhifulinggongyangshen,远志茯苓共养神
yuanzhiliujingao,远志流浸膏
yuanzhitangjiang,远志糖浆
yuanzhizaoganyuan,远志皂苷元
yuanzhongcuowei,远中错位
yuanzhonglinhemianshenqu,远中邻颌面深龋
yuanzhonglinmianqu,远中邻面龋
yuanzhonglinmianshenqu,远中邻面深龋
yuanzhongwodong,远中窝洞
yuanzhongxiangzusheng,远中向阻生
yuanzhongxiexingban,远中楔形瓣
yuanzhongxinli,原中心粒
yuanzhouzai,元洲仔
yuanzhuguanjie,圆柱关节
yuanzhuineibiaopinangzhong,圆锥内表皮囊肿
yuanzhuipingbannianduji,圆椎平板粘度计
yuanzhuixingjiaomo,圆锥形角膜
yuanziliangbiao,原子量表
yuanzixishoufenguangguangdufa,原子吸收分光光度法
yuanzixishoufenguangguangduji,原子吸收分光光度计
yuanzixinlixue,原子心理学
yuebaizhenzhu,月白珍珠
yuebaizhenzhusan,月白珍珠散
yuedaniushanglingding,跃打扭伤灵酊
yuedanhaximuwangguo,约旦哈希姆王国
yueduzaohui,阅读早慧
yuegexianwei,越隔纤维
yueguqiechushu,月骨切除术
yueguzhaichujijiantiansaishu,月骨摘除肌腱填塞术
yueguzhaichushu,月骨摘除术
yueguzhouweituowei,月骨周围脱位
yueguangbaopengwan,月光宝鹏丸
yueguichunliusuanna,月桂醇硫酸钠
yueguidancaotong,月桂氮草酮
yueguidanzhuotong,月桂氮卓酮
yueguidanzhuotong,月桂氮桌酮
yueguishanlitan,月桂山梨坦
yuehansidundao,约翰斯顿岛
yuehansongniaodaochengxingshu,约翰松尿道成形术
yuehanxunjiaozhiqi,约翰逊矫治器
yuehoudaixiangya,月后待镶牙
yuehouxiangya,月后镶牙
yuehuawan,月华丸
yuejiancaoyou,月见草油
yuejiancaoyoujiaowan,月见草油胶丸
yuejiancaoyouru,月见草油乳
yuejingbuguize,月经不规则
yuejingchaoqian,月经超前
yuejingchouxihuotiaojie,月经抽吸或调节
yuejingguoduo,月经过多
yuejingguoduobing,月经过多病
yuejingguoshaobing,月经过少病
yuejinghouqi,月经后期
yuejinghouqibing,月经后期病
yuejingjianqichuxie,月经间期出血
yuejingliangduo,月经量多
yuejingqipiantoutong,月经期偏头痛
yuejingqiancuochuang,月经前痤疮
yuejingqianzonghezheng,月经前综合症
yuejingtiaojie,月经调节
yuejingwenluan,月经紊乱
yuejingxishao,月经稀少
yuejingxianhouwudingqibing,月经先后无定期病
yuejingxianqi,月经先期
yuejingxianqibing,月经先期病
yuejingzhi,月精芝
yuejubaohe,越鞠保和
yuejubaohewan,越橘保和丸
yuejubaohewan,越鞠保和丸
yuejuerchen,越鞠二陈
yuejuerchenwan,越菊二陈丸
yuejuerchenwan,越鞠二陈丸
yuejuwan,越鞠丸
yuekangduozhi,悦康多治
yuekangganle,悦康甘乐
yuekangkaixin,悦康凯欣
yuekanglilong,悦康力隆
yuekangmailong,悦康迈隆
yuekangnaxi,悦康那西
yuekangweile,悦康味乐
yueketingpian,悦可婷片
yueliangcuojue,月亮错觉
yueqinfenli,越亲分离
yueqinyuzhong,越亲育种
yuesitedinglv,约斯特定律
yuetaitieqi,月泰贴脐
yuetaitieqipian,月泰贴脐片
yueyueshutongjingbaokeli,月月舒痛经宝颗粒
yuezhiruanjiaonang,月芝软胶囊
yunbaoyingyangye,孕宝营养液
yuncaoshufei,云草舒肺
yunchanfudixueyazonghezheng,孕产妇低血压综合症
yunchanfusiwangweitezhiyuanyin,孕产妇死亡未特指原因
yunchechuanbing,晕车船病
yundesuzhusheye,运德素注射液
yundongbiaoxiang,运动表象
yundongchengyin,运动成瘾
yundongchuangshanggao,运动创伤膏
yundongcuojue,运动错觉
yundongdanwei,运动单位
yundongdingfengtiyan,运动顶峰体验
yundongfuheshiyan,运动负荷试验
yundongfuzhuqu,运动辅助区
yundongguanliandianwei,运动关联电位
yundonghouxiang,运动后象
yundonghouxiao,运动后效
yundongjifashiyan,运动激发试验
yundongjifenqingxu,运动激愤情绪
yundongjinengxuexi,运动技能学习
yundongjiyi,运动记忆
yundongjianjiagu,运动肩胛骨
yundongjianshao,运动减少
yundongjiaolv,运动焦虑
yundongjiaolvzheng,运动焦虑症
yundongjingzhengqingxu,运动竞争情绪
yundongjuexunlian,运动觉训练
yundongliaofa,运动疗法
yundongqianqu,运动前区
yundongrenzhi,运动认知
yundongshenjingyan,运动神经炎
yundongshenjingyuan,运动神经元
yundongshenjingyuanbianxingbing,运动神经元变性病
yundongshenjingyuanbing,运动神经元病
yundongshenjingyuanshutu,运动神经元树突
yundongshicha,运动视差
yundongshitiao,运动失调
yundongshiyan,运动试验
yundongshiyuzheng,运动失语症
yundongxitong,运动系统
yundongxinfeigongnengjiancha,运动心肺功能检查
yundongxinlixuancai,运动心理选材
yundongxinlizhenduan,运动心理诊断
yundongxingfenqingxu,运动兴奋情绪
yundongxingmabi,运动性麻痹
yundongxingshiyu,运动性失语
yundongxingweiyanlian,运动行为演练
yundongxingyuyanzhongshu,运动性语言中枢
yundongyoufadianwei,运动诱发电位
yundongyuanxinzang,运动员心脏
yundongzhangai,运动障碍
yundongzhijue,运动知觉
yundongzhongban,运动终板
yundongzhongshu,运动中枢
yundufukuizheng,蕴毒腐溃证
yunerxitong,孕二烯酮
yunerxitongpian,孕二烯酮片
yunerxitongsanxiangpian,孕二烯酮三相片
yunfujinhua,孕妇金花
yunfujinhuajiaonang,孕妇金花胶囊
yunfujinhuapian,孕妇金花片
yunfujinhuawan,孕妇金花丸
yunfujinyong,孕妇禁用
yunfujingpian,晕复静片
yunfukangkoufuye,孕妇康口服液
yunfuqinghuo,孕妇清火
yunfuqinghuowan,孕妇清火丸
yunhaining,晕海宁
yunhuafa,匀化法
yunhuanzheng,晕环征
yunjisushouti,孕激素受体
yunjiangliuyanchengmofa,匀浆流延成膜法
yunkangkeli,孕康颗粒
yunkangkoufuye,孕康口服液
yunkangkoufuzhuye,孕康口服注液
yunkangtangjiang,孕康糖浆
yunkepingkeli,晕可平颗粒
yunkepingtangjiang,晕可平糖浆
yunmuchenfei,云母尘肺
yunnanbaiyaoding,云南白药酊
yunnanbaiyaogao,云南白药膏
yunnanbaiyaojiaonang,云南白药胶囊
yunnanbaiyaopian,云南白药片
yunnanhongyao,云南红药
yunnanhongyaojiaonang,云南红药胶囊
yunnanhongyaosan,云南红药散
yunnanhuafen,云南花粉
yunnanhuafenpian,云南花粉片
yunnansheyao,云南蛇药
yunnanwosen,云南沃森
yunningkoufuye,晕宁口服液
yunningruangao,晕宁软膏
yunqizigongneikoufengheshu,孕期子宫内口缝合术
yunsanxitong,孕三烯酮
yunsanxitongjiaonang,孕三烯酮胶囊
yunsanxitongpian,孕三烯酮片
yunshiganmao,云实感冒
yunshiganmaoheji,云实感冒合剂
yunshupaonang,运输泡囊
yunshuxiaopao,运输小泡
yunshuzhucun,运输贮存
yunsongshizi,运送拭子
yuntaishulie,运态数列
yuntiedanbai,运铁蛋白
yuntongceding,孕酮测定
yuntongdingjiaonang,晕痛定胶囊
yuntongdingpian,晕痛定片
yuntongjianceshiji,孕酮检测试剂
yunweiningjiaonang,云胃宁胶囊
yunwenyijiancha,云纹仪检查
yunwuyijingbing,云雾移睛病
yunxiangcao,芸香草
yunxiangcaoyou,芸香草油
yunxiangshiwuwei,云香十五味
yunxiangshiwuweiwan,云香十五味丸
yunxingjiaomoyan,晕性角膜炎
yunxuzuoyong,允许作用
yunyangzhi,晕样痣
yunyongbuneng,运用不能
yunzaoqichanqianzhenduan,孕早期产前诊断
yunzhibaoneitangtai,云芝胞内糖肽
yunzhibaoneitangtaijiaonang,云芝胞内糖肽胶囊
yunzhibaoneitangtaikoufurongye,云芝胞内糖肽口服溶液
yunzhibaoneitangtaikoufuye,云芝胞内糖肽口服液
yunzhibaoneitangtaipian,云芝胞内糖肽片
yunzhibaoneitangtaipianbomoyi,云芝胞内糖肽片薄膜衣
yunzhiduotangjiaonang,云芝多糖胶囊
yunzhigantai,云芝肝泰
yunzhigantaijiaonang,云芝肝泰胶囊
yunzhigantaikeli,云芝肝泰颗粒
yunzhigantaipian,云芝肝泰片
yunzhijunjiaonang,云芝菌胶囊
yunzhitangtai,云芝糖肽
yunzhitangtaijiaonang,云芝糖肽胶囊
zabingdiershiliu,杂病第二十六
zacaofugai,杂草覆盖
zacaoqinrao,杂草侵扰
zacaoqunluo,杂草群落
zacaoyizhi,杂草抑制
zahexuehongdanbai,杂合血红蛋白
zaheyoushi,杂合优势
zahezijianchu,杂合子检出
zajiaofanzhi,杂交繁殖
zajiaokangti,杂交抗体
zajiaoliuxibaoxi,杂交瘤细胞系
zajiaoxibao,杂交细胞
zajiaoxibaoxi,杂交细胞系
zaluanhuisheng,杂乱回声
zazhijiancha,杂质检查
zazhongshengwuban,杂种生物瓣
zaicexindu,再测信度
zaiciganyizhi,再次肝移植
zaicikaixiongtanchazhixueshu,再次开胸探查止血术
zaicimianyiyingda,再次免疫应答
zaicishenyizhi,再次肾移植
zaicixinzangyizhi,再次心脏移植
zaiciyizhi,再次移植
zaidingxiangxingwei,再定向行为
zaiguanzhusunshang,再灌注损伤
zaihaiyixue,灾害医学
zaihesudu,载荷速度
zaiheisesuxibao,载黑色素细胞
zaihuaganmao,仔花感冒
zaihuaganmaojiaonang,仔花感冒胶囊
zaihuaganmaopian,仔花感冒片
zaijiafuzigengfuyang,再加附子更扶阳
zaijinamoxilinkeli,再今阿莫西林颗粒
zaikaertong,在卡儿童
